Title,Stock_Status,Price,Dealer,Rating,Num_review
2024 Hyundai Sonata Hybrid Limited,New,"$38,270",Webb Hyundai Highland,4.5,"(1,045 reviews)"
2025 BMW M8 Competition Gran Coupe,New,"$149,675",Perillo BMW,4,(654 reviews)
2021 Jeep Compass Limited,Used,"$21,000",McGrath Acura of Downtown Chicago,4.2,(449 reviews)
2025 BMW M8 Competition,New,"$157,215",Perillo BMW,4,(654 reviews)
2014 Hyundai Elantra SE,Used,"$11,998",CarMax Joliet,0,(0 reviews)
2018 Mercedes-Benz Maybach S 560 4MATIC,Used,"$79,800",Bentley Bugatti Lamborghini Maserati Rolls-Royce of Chicago,0,(58 reviews)
2025 BMW M8 Competition,New,"$155,225",Perillo BMW,4,(654 reviews)
2024 Audi S3 Premium Plus 2.0 TFSI quattro,New,"$60,605",Fletcher Jones Audi,4.1,"(1,146 reviews)"
2018 Chevrolet Cruze LS,Used,"$11,995",S&M Auto Sales Kedzie,4.2,(9 reviews)
2011 Lexus CT 200h Base,Used,"$7,500",Chicago Auto Warehouse,5,(25 reviews)
2014 Mercedes-Benz SLK-Class SLK 250,Used,"$20,837",TAB Auto Brokers,4.9,"(1,060 reviews)"
2011 BMW 128 2dr Conv 128i,Used,"$14,995",The Autobarn Volvo Cars of Oak Park,4.8,(746 reviews)
2023 Volvo C40 Recharge Pure Electric Twin Plus,New,"$53,515",Hawk CDJR,0,(2 reviews)
2024 Jeep Grand Cherokee 4xe Base,New,"$49,988",Loeber Motors Mercedes-Benz,0,(5 reviews)
2024 Mercedes-Benz EQE 350 350 Sedan,New,"$92,905",Wheels Chitown,0,(37 reviews)
2009 Volkswagen Routan SEL,Used,"$5,756",Capital Auto Finance,0,(37 reviews)
2017 Jeep Wrangler Unlimited Sport,Used,"$19,850",Auto Park Imports,0,(2 reviews)
2015 RAM ProMaster 1500 Low Roof,Used,"$18,650",Auto Park Imports,0,(2 reviews)
1989 BMW 325 iS,Used,"$19,950",CarMax Lynchburg,0,(1 review)
2022 Ford Bronco Sport Big Bend,Used,"$28,998",CarMax Pharr,0,(1 review)
