title,stock_type,mileage,price,dealer_name,dealer_link
2021 Ford Expedition Limited,Used,"
      ","$35,286",Sherman Dodge Chrysler Jeep RAM,https://www.shermandodge.com/used-skokie-2021-ford-expedition-limited-for-sale-c-3297/?ctid=f1159a2f-5480-4008-90fe-b1b2e008c5a7&lid=d7cdce85-eabf-4c70-b45d-8f169591399d&utm_campaign=ccmn_vinperformancemedia&utm_medium=cpc&utm_source=cars.com
title,stock_type,mileage,price,dealer_name,dealer_link
2025 Lexus NX 350h Premium,New,"
      ","$54,045",McGrath Lexus Chicago,
title,stock_type,mileage,price,dealer_name,dealer_link
2025 Lexus NX 350h Premium,New,,"$54,045",McGrath Lexus Chicago,
2020 Bentley Continental GT V8,Used,"17,523 mi.","$168,800",Bentley Bugatti Lamborghini Maserati Rolls-Royce of Chicago,
2025 Lexus NX 350h Premium,New,,"$54,045",McGrath Lexus Chicago,
2019 Kia K900 Luxury,Used,"43,495 mi.","$28,995",High Quality Auto Group,
2017 Lexus IS 200t ,Used,"49,846 mi.","$24,998",CarMax Shreveport,
2014 Mercedes-Benz SLK-Class SLK 250,Used,"68,834 mi.","$20,837",Chicago Auto Warehouse,
2018 BMW 740e xDrive iPerformance,Used,"19,835 mi.","$33,599",Zeigler Ford of North Riverside,
2019 Volvo XC90 Hybrid T8 Momentum,Used,"72,447 mi.","$37,891",The Autobarn Volvo Cars of Oak Park,
2023 Porsche 718 Cayman T,Porsche Certified,"5,823 mi.","$79,999",Porsche Lincolnwood,
2021 Ford Expedition Limited,Used,"76,138 mi.","$35,286",Sherman Dodge Chrysler Jeep RAM,
2017 Jeep Renegade Latitude,Used,"74,870 mi.","$13,313",Luxury Motors Credit,
2012 Nissan NV Cargo 3500 S,Used,"110,202 mi.","$12,985",Chicago Cars US,
2016 Nissan GT-R Premium,Used,"22,000 mi.","$90,000",,
2017 INFINITI Q60 3.0T Premium,Used,"43,840 mi.","$25,150",G Motors,
2009 Volkswagen Routan SEL,Used,"135,878 mi.","$5,756",Wheels Chitown,
2018 BMW X5 eDrive xDrive40e,Used,"101,023 mi.","$17,980",Driven Auto Sales,
2018 Hyundai Tucson SEL Plus,Used,"72,681 mi.","$15,295",Oak Lawn Toyota,
2008 Mitsubishi Lancer GTS,Used,"25,862 mi.","$14,485",Countryside Mitsubishi,
2024 Buick Envision Preferred,New,,"$36,865",Ettleson Buick GMC,
2017 Chevrolet Trax LT,Used,"39,701 mi.","$16,998",CarMax Fort Wayne,
2018 Buick Regal TourX Essence,Used,"97,537 mi.","$15,972",Old Orchard Nissan,
2023 Chevrolet Silverado 3500 LTZ,Used,"8,694 mi.","$61,998",CarMax Wilmington,
2022 Volvo XC60 B5 Inscription,Used,"49,865 mi.","$30,998",CarMax Spokane,
2016 INFINITI QX50 ,Used,"45,642 mi.","$19,998",CarMax Reno,
2021 Chevrolet Malibu LT,Used,"65,985 mi.","$17,998",CarMax Pleasant Hill,
2021 Toyota 4Runner Nightshade,Used,"28,700 mi.","$43,998",CarMax Albany,
2019 Ford Explorer ,Used,"78,925 mi.","$19,998",CarMax Manchester,
2018 Lincoln MKC Premiere,Used,"73,159 mi.","$17,998",CarMax Dayton,
2020 Dodge Charger Scat Pack,Used,"49,989 mi.","$38,998",CarMax Salisbury,
2022 Rivian R1S Launch Edition,Used,"10,850 mi.","$68,888",Jennings Chevy / VW,
